process,Start,Finish,Priority,Arrival_Time,Wait_Time,Turnaround_Time
64.0,0.0,1.0,2.0,0.0,0.0,1.0
241.0,1.0,2.0,76.0,1.0,-3.0,0.0
51.0,2.0,3.0,894.0,2.0,-10.0,0.0
51.0,3.0,4.0,894.0,2.0,-10.0,0.0
51.0,4.0,5.0,894.0,2.0,-10.0,0.0
51.0,5.0,6.0,894.0,2.0,-10.0,0.0
51.0,6.0,7.0,894.0,2.0,-10.0,0.0
51.0,7.0,8.0,894.0,2.0,-10.0,0.0
51.0,8.0,9.0,894.0,2.0,-10.0,0.0
51.0,9.0,10.0,894.0,2.0,-10.0,0.0
51.0,10.0,11.0,894.0,2.0,-10.0,0.0
51.0,11.0,12.0,894.0,2.0,0.0,10.0
490.0,12.0,13.0,885.0,3.0,-9.0,0.0
490.0,13.0,14.0,885.0,3.0,-9.0,0.0
490.0,14.0,15.0,885.0,3.0,-9.0,0.0
75.0,15.0,16.0,961.0,15.0,-10.0,0.0
75.0,16.0,17.0,961.0,15.0,-10.0,0.0
75.0,17.0,18.0,961.0,15.0,-10.0,0.0
75.0,18.0,19.0,961.0,15.0,-10.0,0.0
75.0,19.0,20.0,961.0,15.0,-10.0,0.0
75.0,20.0,21.0,961.0,15.0,-10.0,0.0
75.0,21.0,22.0,961.0,15.0,-10.0,0.0
75.0,22.0,23.0,961.0,15.0,-10.0,0.0
75.0,23.0,24.0,961.0,15.0,-10.0,0.0
75.0,24.0,25.0,961.0,15.0,0.0,10.0
490.0,25.0,26.0,885.0,3.0,-9.0,0.0
434.0,26.0,27.0,949.0,26.0,-8.0,0.0
434.0,27.0,28.0,949.0,26.0,-8.0,0.0
434.0,28.0,29.0,949.0,26.0,-8.0,0.0
434.0,29.0,30.0,949.0,26.0,-8.0,0.0
434.0,30.0,31.0,949.0,26.0,-8.0,0.0
178.0,31.0,32.0,959.0,31.0,-8.0,0.0
178.0,32.0,33.0,959.0,31.0,-8.0,0.0
178.0,33.0,34.0,959.0,31.0,-8.0,0.0
178.0,34.0,35.0,959.0,31.0,-8.0,0.0
